"subject","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyAccMag-mean()","fBodyBodyAccJerkMag-mean()","fBodyBodyGyroMag-mean()","fBodyBodyGyroJerkMag-mean()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
1,"LAYING",0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040088,0.010834236361,-0.016553093978,-0.064486124088,0.14868943626,-0.107270949192,-0.04151728689,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.86706520518,-0.8826668762,-0.9570738838,-0.9224626098,-0.9480609042,-0.850249174586,-0.9521914948,-0.909302721,-0.8617676481,-0.9333003608,-0.8621901854,-0.9423669466,0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040088,0.010834236361,-0.016553093978,-0.064486124088,0.14868943626,-0.107270949192,-0.04151728689,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.86706520518,-0.8826668762,-0.9570738838,-0.9224626098,-0.9480609042,-0.850249174586,-0.9521914948,-0.909302721,-0.8617676481,-0.9333003608,-0.8621901854,-0.9423669466
2,"LAYING",0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.509754238125,0.752536639375,0.646834879583333,0.0825972511666667,0.012254788451875,-0.00180264895625,-0.01847660675,-0.111800824583333,0.144882846104167,-0.101974134208333,-0.0358590176083333,-0.0701783020833333,-0.977435485208333,-0.977435485208333,-0.987741696041667,-0.950011569583333,-0.991767074166667,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.985813630833333,-0.982768250416667,-0.986197134583333,-0.9864311425,-0.983321635416667,-0.9626718875,-0.975110196458333,-0.985374114791667,-0.972112972708333,-0.990248702291667,-0.974059464791667,-0.98027739875,-0.984233296875,-0.959014441458333,-0.988211865208333,-0.984230418125,-0.98587216875,-0.98317254125,-0.988442014375,-0.988275232916667,-0.982291608958333,-0.960306560416667,-0.993235849166667,-0.989567537916667,-0.98803582125,-0.972873912916667,-0.972873912916667,-0.98551807625,-0.961164053958333,-0.989718095208333,-0.973246482083333,-0.981025105625,-0.984792185,-0.987250255833333,-0.984987392916667,-0.989345368541667,-0.988860685833333,-0.981910616458333,-0.963174222291667,-0.975121387916667,-0.984568489166667,-0.96109837875,-0.989492660416667
3,"LAYING",0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.241758478064516,0.837032099677419,0.48870318516129,0.0769811125806452,0.0138041011306452,-0.00435625874355645,-0.0208170540330645,-0.0718507159435484,0.137999561112903,-0.10004449883871,-0.0389771765322581,-0.06873387,-0.972791346129032,-0.972791346129032,-0.979484593387097,-0.951564751451613,-0.98671362516129,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.980513202258064,-0.968752113709677,-0.979122344354839,-0.970167262903226,-0.978099682258065,-0.962341960806452,-0.96552427516129,-0.975949597903226,-0.96458672483871,-0.984278251290323,0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.241758478064516,0.837032099677419,0.48870318516129,0.0769811125806452,0.0138041011306452,-0.00435625874355645,-0.0208170540330645,-0.0718507159435484,0.137999561112903,-0.10004449883871,-0.0389771765322581,-0.06873387,-0.972791346129032,-0.972791346129032,-0.979484593387097,-0.951564751451613,-0.98671362516129,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.980513202258064,-0.968752113709677,-0.979122344354839,-0.970167262903226,-0.978099682258065,-0.962341960806452,-0.96552427516129,-0.975949597903226,-0.96458672483871,-0.984278251290323
4,"LAYING",0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.420664662222222,0.915165104259259,0.341531310555556,0.0934494217777778,0.00693313213968519,-0.00641054328740741,-0.00923156347222222,-0.0930128180759259,0.169720404092593,-0.105019877685185,-0.0381230432222222,-0.0712156288333333,-0.954557603148148,-0.954557603148148,-0.970095771666667,-0.930236462592593,-0.985068502037037,-0.958802077592593,-0.938883374444444,-0.967504278888889,-0.978542457407407,-0.943969987222222,-0.975383329444444,-0.967203736481482,-0.972187839074074,-0.961479262592593,-0.939389701296296,-0.96228712537037,-0.961556660185185,-0.983609073333333,-0.954193738888889,-0.941714042407407,-0.962667314814815,-0.921199965925926,-0.969816635740741,-0.976176608888889,-0.978302781111111,-0.942209488333333,-0.978511984259259,-0.973102422222222,-0.961109291851852,-0.962073755,-0.975103204259259,-0.986855629814815,-0.983965359814815,-0.931292216611111,-0.931292216611111,-0.960786430740741,-0.947031781666667,-0.982698213703704,-0.952464881481481,-0.946380971111111,-0.962154454259259,-0.980079292592593,-0.944366881666667,-0.980261236296296,-0.975094739444444,-0.956182500185185,-0.965807466666667,-0.937187975962963,-0.958037119259259,-0.947100325185185,-0.982543631666667
5,"LAYING",0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.483470597692308,0.954890346153846,0.263644691923077,0.0848164824230769,0.00747460829615385,-0.00304067159653846,-0.0218935013501923,-0.0798709596153846,0.159894366942308,-0.102114125,-0.0404446925288462,-0.07083096875,-0.966777882884615,-0.966777882884615,-0.980141253846154,-0.946938300576923,-0.9864194225,-0.968741678461538,-0.965419520961538,-0.977007724615385,-0.982689657115385,-0.965328566153846,-0.983250309423077,-0.975797491730769,-0.978249645769231,-0.963202948461538,-0.962234984038462,-0.977356379807692,-0.968257068846154,-0.984618025769231,0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.483470597692308,0.954890346153846,0.263644691923077,0.0848164824230769,0.00747460829615385,-0.00304067159653846,-0.0218935013501923,-0.0798709596153846,0.159894366942308,-0.102114125,-0.0404446925288462,-0.07083096875,-0.966777882884615,-0.966777882884615,-0.980141253846154,-0.946938300576923,-0.9864194225,-0.968741678461538,-0.965419520961538,-0.977007724615385,-0.982689657115385,-0.965328566153846,-0.983250309423077,-0.975797491730769,-0.978249645769231,-0.963202948461538,-0.962234984038462,-0.977356379807692,-0.968257068846154,-0.984618025769231
6,"LAYING",0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.47670987877193,0.956593814210526,0.175867709021053,0.0963481955263158,-0.00114529240245614,0.00328817288070175,-0.0079605026754386,-0.107218315054386,0.179102058245614,-0.111267284631579,-0.0424104289992982,-0.0717774743859649,-0.918878850824561,-0.918878850824561,-0.954750504912281,-0.908980174736842,-0.955645738245614,-0.939114254210526,-0.923706791403509,-0.938044912280702,-0.967072436842105,-0.936043420175439,-0.954425844736842,-0.935439769649123,-0.941771544385965,-0.932636612807018,-0.91235165222807,-0.948655471052632,-0.930153639473684,-0.953695957368421,0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.47670987877193,0.956593814210526,0.175867709021053,0.0963481955263158,-0.00114529240245614,0.00328817288070175,-0.0079605026754386,-0.107218315054386,0.179102058245614,-0.111267284631579,-0.0424104289992982,-0.0717774743859649,-0.918878850824561,-0.918878850824561,-0.954750504912281,-0.908980174736842,-0.955645738245614,-0.939114254210526,-0.923706791403509,-0.938044912280702,-0.967072436842105,-0.936043420175439,-0.954425844736842,-0.935439769649123,-0.941771544385965,-0.932636612807018,-0.91235165222807,-0.948655471052632,-0.930153639473684,-0.953695957368421
7,"LAYING",0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.502814250576923,0.393444278076923,0.907537823461538,0.0968904018076923,0.0250624183634615,-0.0131653918205769,-0.00282641913096154,-0.133605695057692,0.155920029769231,-0.105944243484615,-0.0358897425826923,-0.0671901794615385,-0.936392023846154,-0.936392023846154,-0.980127239615385,-0.915793634807692,-0.983008829038462,-0.953424245576923,-0.942193953846154,-0.958611644615385,-0.980393046923077,-0.972531648846154,-0.969524977692308,-0.953684547692308,-0.957570207692308,-0.956905310961538,-0.927976880634615,-0.968066259230769,-0.941130719230769,-0.974117912115385,0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.502814250576923,0.393444278076923,0.907537823461538,0.0968904018076923,0.0250624183634615,-0.0131653918205769,-0.00282641913096154,-0.133605695057692,0.155920029769231,-0.105944243484615,-0.0358897425826923,-0.0671901794615385,-0.936392023846154,-0.936392023846154,-0.980127239615385,-0.915793634807692,-0.983008829038462,-0.953424245576923,-0.942193953846154,-0.958611644615385,-0.980393046923077,-0.972531648846154,-0.969524977692308,-0.953684547692308,-0.957570207692308,-0.956905310961538,-0.927976880634615,-0.968066259230769,-0.941130719230769,-0.974117912115385
8,"LAYING",0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.405930036111111,0.589922434814815,0.719831539259259,0.0878326902592593,0.0233299159137037,-0.0169218791344444,0.00535361206851852,-0.0891374138592593,0.13818830737037,-0.106445008314815,-0.0389735198722222,-0.0694123150925926,-0.935308633888889,-0.935308633888889,-0.97314748962963,-0.924253348518518,-0.978438191296296,-0.953538563888889,-0.951816663703704,-0.944269514074074,-0.973110596111111,-0.975877437407407,-0.962111136666667,-0.957903886111111,-0.957411160185185,-0.967461239074074,-0.932279645518518,-0.961792852407407,-0.944528950555556,-0.968403945925926,0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.405930036111111,0.589922434814815,0.719831539259259,0.0878326902592593,0.0233299159137037,-0.0169218791344444,0.00535361206851852,-0.0891374138592593,0.13818830737037,-0.106445008314815,-0.0389735198722222,-0.0694123150925926,-0.935308633888889,-0.935308633888889,-0.97314748962963,-0.924253348518518,-0.978438191296296,-0.953538563888889,-0.951816663703704,-0.944269514074074,-0.973110596111111,-0.975877437407407,-0.962111136666667,-0.957903886111111,-0.957411160185185,-0.967461239074074,-0.932279645518518,-0.961792852407407,-0.944528950555556,-0.968403945925926
9,"LAYING",0.2591955368,-0.020526821662,-0.10754972144,-0.5802528348,-0.1191541962,0.9578730416,0.08807344764,0.011561732718,-0.0070536778584,-0.013632036148,-0.15890291983,0.101275010682,-0.10384667982,-0.027552256948,-0.0569490475,-0.9308684376,-0.9308684376,-0.9633745492,-0.9071250998,-0.964524819,-0.946865494,-0.9343665984,-0.9459190006,-0.964304065,-0.9640828062,-0.955909215,-0.930297921,-0.9345796594,-0.9598150092,-0.9266042952,-0.9543205856,-0.9186053356,-0.9558062546,-0.94233309,-0.9162927764,-0.9407072854,-0.9218210626,-0.9699944882,-0.9712046902,-0.9647404702,-0.9639966798,-0.958562455,-0.9422465098,-0.9266185314,-0.9615953704,-0.945329035,-0.9621702422,-0.9770761602,-0.91512680016,-0.91512680016,-0.9550268052,-0.8985578738,-0.9528015598,-0.9409810272,-0.9128367508,-0.9419711636,-0.9686013042,-0.966634136,-0.9597147176,-0.9463891504,-0.9231319366,-0.965686312,-0.921929738394,-0.9550947122,-0.9034005814,-0.9522904702
10,"LAYING",0.280230574137931,-0.024294484137931,-0.117168642362069,-0.453069737586207,-0.139297681034483,-0.031121624137931,0.073815064487931,0.015698997097069,0.00716689586275862,-0.019555937162069,-0.0770325657265517,0.104720478344828,-0.100308254413793,-0.0388797920413793,-0.0590744912758621,-0.956781819655172,-0.956781819655172,-0.976234435172414,-0.937590998793103,-0.970830848965517,-0.96918420862069,-0.954341849137931,-0.964300845172414,-0.979014668793104,-0.968039173793103,-0.972592212931034,-0.953793912068965,-0.954670034482759,-0.969755777241379,-0.950848109137931,-0.968561121551724,-0.937692642586207,-0.960976821551724,-0.968283685,-0.946454302068966,-0.95947148637931,-0.954531941896552,-0.966701156034483,-0.963045642431035,-0.978007466724138,-0.966930793448276,-0.976256662586207,-0.961713199827586,-0.953660207586207,-0.971940597413793,-0.965900578103448,-0.966621040344828,-0.983949302758621,-0.940301654482759,-0.940301654482759,-0.967556980689655,-0.927471165517241,-0.959632931551724,-0.96796803862069,-0.946229148258621,-0.959813667810345,-0.978904364137931,-0.968120692241379,-0.978582339137931,-0.96454456637931,-0.953453496551724,-0.975298797068965,-0.944304974655172,-0.965377553448276,-0.933701315344828,-0.960772875517241
